frame,video,lm_nose_x,lm_nose_y,lm_nose_z,lm_left_shoulder_x,lm_left_shoulder_y,lm_left_shoulder_z,lm_right_shoulder_x,lm_right_shoulder_y,lm_right_shoulder_z,lm_left_elbow_x,lm_left_elbow_y,lm_left_elbow_z,lm_right_elbow_x,lm_right_elbow_y,lm_right_elbow_z,lm_left_wrist_x,lm_left_wrist_y,lm_left_wrist_z,lm_right_wrist_x,lm_right_wrist_y,lm_right_wrist_z,lm_right_pinky_x,lm_right_pinky_y,lm_right_pinky_z,lm_right_index_x,lm_right_index_y,lm_right_index_z,lm_left_hip_x,lm_left_hip_y,lm_left_hip_z,lm_right_hip_x,lm_right_hip_y,lm_right_hip_z,label
1,IMG_1773.MOV,0.4295780062675476,0.14739641547203064,-0.2899107038974762,0.4815000891685486,0.2280881702899933,-0.10431720316410065,0.38992583751678467,0.24592004716396332,-0.027841854840517044,0.5039838552474976,0.3628830313682556,-0.18777386844158173,0.37670260667800903,0.37459349632263184,-0.0965130403637886,0.4607400596141815,0.36649131774902344,-0.3919638395309448,0.354481965303421,0.38430356979370117,-0.3451831638813019,0.34718742966651917,0.38155460357666016,-0.39218589663505554,0.3511151373386383,0.3700518310070038,-0.41043001413345337,0.4616992771625519,0.4890791177749634,-0.024319112300872803,0.4107678532600403,0.4862510859966278,0.02430524118244648,other
2,IMG_1773.MOV,0.4294022023677826,0.14731381833553314,-0.27037113904953003,0.4805770516395569,0.2280939668416977,-0.09404974430799484,0.3899366557598114,0.24557794630527496,-0.016983812674880028,0.5026912093162537,0.3625013530254364,-0.17069081962108612,0.3764010965824127,0.36341965198516846,-0.04833385720849037,0.4592287838459015,0.3661196529865265,-0.36761143803596497,0.35476329922676086,0.38232627511024475,-0.2697654962539673,0.34637293219566345,0.3821154534816742,-0.3176474869251251,0.35029709339141846,0.3706587851047516,-0.3434973359107971,0.461738258600235,0.4858272969722748,-0.0239414032548666,0.41092050075531006,0.4842683672904968,0.023956863209605217,other
3,IMG_1773.MOV,0.42893651127815247,0.14728200435638428,-0.25936001539230347,0.4803408682346344,0.22790805995464325,-0.08603496849536896,0.3899711072444916,0.2448015809059143,-0.01075443159788847,0.5021827220916748,0.3617137670516968,-0.16188731789588928,0.3763040006160736,0.36019304394721985,-0.04085863381624222,0.45902493596076965,0.3667478561401367,-0.3584189713001251,0.3549483120441437,0.38130998611450195,-0.26312655210494995,0.34631049633026123,0.3822828531265259,-0.3114526867866516,0.35011306405067444,0.37085217237472534,-0.337894082069397,0.46172475814819336,0.48413538932800293,-0.023281047120690346,0.41092202067375183,0.48213279247283936,0.023321164771914482,other
4,IMG_1773.MOV,0.428913950920105,0.14728133380413055,-0.26517191529273987,0.47999799251556396,0.22786425054073334,-0.08632909506559372,0.38995954394340515,0.24465905129909515,-0.012196696363389492,0.5017784833908081,0.3613491654396057,-0.16855382919311523,0.3761557638645172,0.35968726873397827,-0.04762255772948265,0.4587582051753998,0.3666597604751587,-0.36946460604667664,0.35493555665016174,0.38039278984069824,-0.27345526218414307,0.3461644947528839,0.3822943866252899,-0.3217523694038391,0.3499026894569397,0.3707953989505768,-0.3481752574443817,0.4617405831813812,0.4834269881248474,-0.023535361513495445,0.4109950065612793,0.4813438653945923,0.023589326068758965,other
5,IMG_1773.MOV,0.4289070665836334,0.14734427630901337,-0.2549881637096405,0.4797252416610718,0.22782695293426514,-0.0817466527223587,0.38996297121047974,0.24400541186332703,-0.005176587495952845,0.5014161467552185,0.3606349229812622,-0.16083547472953796,0.3762589991092682,0.3587442934513092,-0.03720149025321007,0.4587112069129944,0.3669869005680084,-0.35812249779701233,0.35513463616371155,0.3796660304069519,-0.25935623049736023,0.3460523784160614,0.382290780544281,-0.30745750665664673,0.3496883511543274,0.3708518445491791,-0.33422529697418213,0.4617440402507782,0.48302435874938965,-0.023493902757763863,0.41107121109962463,0.48111915588378906,0.02355087362229824,other
6,IMG_1773.MOV,0.4288584887981415,0.14753997325897217,-0.2568967938423157,0.4795573949813843,0.22782178223133087,-0.08364079147577286,0.39003902673721313,0.24333736300468445,-0.006544745992869139,0.501274824142456,0.3601709008216858,-0.16204752027988434,0.3763236105442047,0.3551314175128937,-0.03851835057139397,0.4587238132953644,0.36708196997642517,-0.35804933309555054,0.35537418723106384,0.37908270955085754,-0.25868016481399536,0.345924973487854,0.3823099434375763,-0.3065028488636017,0.34955230355262756,0.37095439434051514,-0.33288267254829407,0.46175146102905273,0.4828866422176361,-0.023402895778417587,0.41115802526474,0.481035977602005,0.023464376106858253,other
7,IMG_1773.MOV,0.4287361204624176,0.14751692116260529,-0.2506645917892456,0.47942692041397095,0.22775842249393463,-0.08262886106967926,0.39013761281967163,0.24278926849365234,-0.0015999509487301111,0.5010387301445007,0.35961776971817017,-0.16316066682338715,0.3764272928237915,0.35296034812927246,-0.03332700952887535,0.45873549580574036,0.36713406443595886,-0.35957637429237366,0.35580798983573914,0.37868914008140564,-0.25349968671798706,0.34591981768608093,0.3823193907737732,-0.3010273575782776,0.3494690954685211,0.3710130751132965,-0.327435702085495,0.4617517292499542,0.4828309118747711,-0.02352995239198208,0.4111584722995758,0.48103073239326477,0.023595789447426796,other
8,IMG_1773.MOV,0.4286240041255951,0.14737071096897125,-0.24542219936847687,0.479315847158432,0.22768999636173248,-0.07988978922367096,0.3902619779109955,0.242606520652771,0.003078379901126027,0.5009772181510925,0.3590962886810303,-0.1592404693365097,0.3765706717967987,0.35345861315727234,-0.029070643708109856,0.45875170826911926,0.3671320080757141,-0.3533754348754883,0.3560047447681427,0.3776960074901581,-0.250033438205719,0.3458789885044098,0.38221848011016846,-0.2978588938713074,0.3494245111942291,0.3710068166255951,-0.324079304933548,0.46176591515541077,0.4827883243560791,-0.02373429574072361,0.4112001061439514,0.4810476303100586,0.023805314674973488,other
9,IMG_1773.MOV,0.4285731911659241,0.14737007021903992,-0.24377967417240143,0.47920283675193787,0.22765235602855682,-0.07951425760984421,0.3903786540031433,0.24236628413200378,0.00587985385209322,0.50090491771698,0.35838088393211365,-0.16077034175395966,0.37668874859809875,0.35193872451782227,-0.029234569519758224,0.4587615728378296,0.3670090436935425,-0.35720643401145935,0.35629624128341675,0.37712758779525757,-0.2547444999217987,0.34587886929512024,0.3821984529495239,-0.3032289445400238,0.3494226038455963,0.37100735306739807,-0.32938796281814575,0.46176639199256897,0.48281943798065186,-0.024125391617417336,0.4112052023410797,0.4810696542263031,0.024198856204748154,other
10,IMG_1773.MOV,0.42855212092399597,0.14737063646316528,-0.2455892413854599,0.47915881872177124,0.2276376634836197,-0.08022485673427582,0.39042940735816956,0.2422887235879898,0.0070649320259690285,0.5009209513664246,0.3581914007663727,-0.1611045002937317,0.37668898701667786,0.35290640592575073,-0.029004279524087906,0.4587673246860504,0.3669908940792084,-0.3565029501914978,0.35632047057151794,0.37689217925071716,-0.25696590542793274,0.3458634316921234,0.38208362460136414,-0.3057279586791992,0.3494248390197754,0.37087950110435486,-0.3313453495502472,0.4617753326892853,0.4828597903251648,-0.02484927885234356,0.4112403690814972,0.481100469827652,0.024926047772169113,other
